Month,TIME_24_HOURS,MV_INVOLVED,BASE_SUB_BASE,COUNTY,ROAD,BRIEF_ACCIDENT_DETAILS,GENDER,AGE,CAUSE_CODE,VICTIM_TYPE,Date,Hour
3,0930,M/CYCLE KMDQ 3272 TVS & KMDS 892V TVS,NANDI CENTRAL,NANDI,KABIYET KURGONG-KIPKAREN SALIA RD,THE M/CYCLE COLLIDED HEAD ON WITH ANOTHER M/CYCLE,M,25&28,37.0,RIDERS,2017-03-23,9.0
8,1000,KBU666Q T/L/C/PRADO $M/CY KMDM 324D SIMBA,NYARI,MOMBASA,OLD MOIYNE DRIVE,LOST CONTROL AND RAMMED FROM REAR ONTO M/CYCE,M,A,16.0,RIDER P/PASSANGER,2017-08-04,10.0
2,1930,KBU 591M/ZF 5724 SCANIA & KMEA 508C TIGER,SAGANA,KIRINYAGA,KENOL-MAKUTANO,THE CYCLE HIT THE STATIONARY VEHICLE,M,A,37.0,RIDER AND P/PASSENGER,2017-02-22,19.0
3,0730,M/CYCLE KMCC 471M TVS & UNKNOWN M/VEHICLE,MUMIAS,KAKAMEGA,EKERO-SABATIA,THE VEHICLE COLLIDED HEAD ON WITH THE M/CYCLE,M & F/J,52 &17,98.0,RIDER & P/PASSENGER,2017-03-23,7.0
3,1500,KCF 031X I/M/BUS & M/C KMDR 411F,PAP ONDITI,KISUMU,KATITO KEMDUBAY,THE M/CYCLE LOST CONTROL AND WAS KNOCKED DOWN BY THE SAID BUS,M&F,"42,24,32",26.0,RIDER & P/PASSENGER,2017-03-18,15.0
3,1700,KCX 811T/H/MATATU & M/CYCLE KBF 923J FOCIN,AWENDO,MIGORI,AWENDO - RONGO,THE M/CYCLE COLLIDED HEAD ON WITH THE M/VEHICLE,M,A,50.0,RIDER & P/PASSENGER,2017-03-21,17.0
3,1540,KCB 808J RANGE ROVER SPORT & M/CYCLE,SAGANA,KIRINYAGA,SAGANA-MAKUTANO,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE M/CYCLE,M,21 & 21,26.0,RIDER & P/PASSENGER,2017-03-21,15.0
3,1400,UNREGISTERED M/CYCLE,DTEO GIGIRI,NAIROBI,PROF.WANGARI MATHAI,THE M/CYCLE LOST CONTROL AND ROLLED SEVERAL TIMES,M,A,36.0,RIDER & P/PASSENGER,2017-03-21,14.0
3,0930,KYX 551 T/P/UP & M/CYCLE KMDG 038X RANGER,KANDARA,MURANGA,MAKENJI-MURUKA,THE M/CYCLE COLLIDED HEAD ON WITH THE M/VEHICLE,M,A,37.0,RIDER & P/PASSENGER,2017-03-21,9.0
3,1350,M/C KMDQ789F BOXER & UNKNOWN M/VEHIVLE,DTEO EMBAKASI,NAIROBI,MOMBASA RD,VEHICLE KNOCKED DOWN A VICTIM,M,A,29.0,RIDER,2017-03-25,13.0
7,2000,"UNREGISTERED M/CYCLE, PEDESTRIAN",chuka,THARAKA NITHI,KIRIANE MUTINDWA ROAD,RIDDER HIT A PEDESTRIAN CROSSING THE ROAD,M,J,,RIDER,2017-07-30,20.0
3,0710,M/V KBP 024Q MITSUBISHI OUTLANDER & M/C KMDE 518E TORNADO,DTEO GILGIL,NAIROBI,LOWER KABETE,THE MISTUBISHI OUTLANDER FAILED TO KEEP TO HIS LANE AND COLLIDED WITH M/CYCLIST KILLING HIM INSTANTLY.,M,39,8.0,RIDER,2017-03-25,7.0
3,1500,KBS 969D LORRY & KMDS 737M DAYUN,THIKA,KIAMBU,NYERI - THIKA,THE M/CYCLE HIT THE REAR SIDE OF THE LORRY,M,40,57.0,RIDER,2017-03-21,15.0
3,1600,KBS 393J HARRIER & M/CYCLE KMCS 524Y HAOJUE,OLKALOU,NYANDARUA,OLKALOU-KARIAMU,THE VEHICLE COLLIDED HEAD ON WITH THE M/CYCLE,M,50,7.0,RIDER,2017-03-21,16.0
4,1200,KTWB 815D,EMBU,EMBU,EMBU-KIBUGU,"THE TRICYCLE LOST CONTROL , VEERING OFF THE ROAD AND LANDED INTO A DITCH.",M,A,26.0,RIDER,2017-04-25,12.0
7,2130,KBJ 388F T/PREMIO & M/CYCLE,MACHAKOS,MACHAKOS,MACHAKOS-KYUMBI,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,RIDER,2017-07-03,21.0
3,0745,KCJ 271F VITZ & M/C KMDM 733G ZAN LG,KILIFI,KILIFI,KILIFI-MOMBASA,THE M/VEHICLE LOST CONTROL AND HIT THE M/CYCLE,M,A,26.0,RIDER,2017-03-19,7.0
5,1540,M/V KBE 892C M/LORRY AND M/CYC.KMDG 065U BOXER,NAKURU,NAKURU,ELDORET NAKURU,LORRY COLLUDED WITH A M/CYCLE KILLING THE RIDER ON THE SPOT.,M,20,22.0,RIDER,2017-05-13,15.0
3,1200,KBJ 687F TOYOTA MATATU & M/C KMCS 752R JINCHENG,JUJA,KIAMBU,GATUNDU RD,THE MOTORCYCLE COLLIDED WITH THE SAID MATATU,M,A,8.0,RIDER,2017-03-18,12.0
3,0610,KBX 997Q,DIANI,KILIFI,KILIIFI-DIANI,THE VEHICLE LOST CONTOL AND RAMMED INTO A TREE,M,25,7.0,RIDER,2017-03-18,6.0
5,1230,M/CY. KMDV 158T BOXER,KENDU BAY,HOMA BAY,KENDU BAY/ HOMA BAY RD,M/CYCLIST LOST CONTROL AND HIT A CULVERT ON THE SIDE OF THE ROAD.DIED ON THE SPOT.,M,40,26.0,RIDER,2017-05-20,12.0
3,2030,KBB 712T ISUZU M/BUS & KMCZ 541P BOXER,DTEO INDO AREA,NAIROBI,LIKONI ROAD,THE BUS HIT THE M/CYCLE ON THE REAR,M,A,39.0,RIDER,2017-03-09,20.0
2,2039,KCC 374L HINO MINIBUS & KMCG 188U SKYGO,KANGUNDO,MAKUENI,NAIROBI-KANGUNDO,THE VEHICLE COLLIDED HEAD ON WITH THE M/CYCLE,M,36,82.0,RIDER,2017-02-22,20.0
8,2130,M/V KAK 806M T/MATATU $M/CY MDS 739S BOXER,NYAHURURU,NYANDARUA,NYAHURURU BOIMAN RD,HEAD ON COLLISSION,M,A,39.0,RIDER,2017-08-04,21.0
3,1430,KBM 896W TOYOTA IST & KMBX 077W HONDA,AHERO,MIGORI,KISUMU-NAIROBI,THE VEHICLE HIT THE M/CYCLE,M,26,29.0,RIDER,2017-03-09,14.0
3,1530,KMDZ 933Y CAPTAIN & T/PROBOX,MERU,MERU,MITUNGUU-NKUBU,THE VICTIM WAS RAN OVER BY A VEHICLE,M,32,57.0,RIDER,2017-03-09,15.0
5,1700,"M/V KCG 337Y R.ROVER, M/CYC. KMDL 946J BOXER AND KMCQ 249T BOXER",BUTERE,KISUMU,SAB ATIA EKERO RD,M/V DRIVER HIT TWO M/CYCLES AT A ROAD JUNCTION KILLING THEM ON THE SPOT.,M,A,10.0,RE,2017-05-20,17.0
5,1000,KMDZ 204F BAJAJ BOXER AND KAE 617P FORD,KERICHO,KERICHO,KENEGUT KAPSOIT,VEHICLE KNOCKED DOWN A VICTIM,F,A,37.0,PILLION PASSENGERS,2017-05-29,10.0
8,2000,KCL 549H TOYOTA PASSO AND KMCP 129J,ATHI RIVER,MACHAKOS,,VEHICLE KNOCKED DOWN A VICTIM,J,J,8.0,PILLION PASSENGER,2017-08-11,20.0
7,1900,GKB 813D FORD RANGER,NAKURU,NAKURU,NAKURU-NAIROBI,VEHICLE KNOCKED DOWN A VICTIM,M,A,90.0,PEDSTIRAN,2017-07-29,19.0
7,2050,KBY 113K T/MATATU,RUIRU,KIAMBU,THIKA SUPER HIGHWAY,THE VEHICE KNOCKED DOWN A VICTIO\M,M,A,60.0,PEDSTIRAN,2017-07-29,20.0
6,1550,UNKNOWN M/V & 2 PEDS,SAGANA,KIRINYAGA,SAGANA-MAKUTANO-KENOL RD,THE UNKNOWN M/V DRIVEN BY UNKNOWN DRIVER HEADING TO NAIROBI RAMMED THE REAR OF THE M/CYCLE BEFORE LOOSING CONTROL AND KNOCKING DOWN TWO PEDESTRIANS KILLING THEM ON THE SPOT,M,21& 28,7.0,PEDESTRIANS,2017-06-17,15.0
3,1945,"KCB 954D T/MATATU, M/C KMDU 487R SKYGO &UNKNOWN TRAILER",NAIVASHA,NAKURU,NAKURU- NAIROBI,HIT & RUN,M,A,39.0,PEDESTRIAN & RIDER,2017-03-25,19.0
7,1230,KBX 682K TOYOTA MATATU,MERU,MERU,MERU EMBU,VEHICLE KNOCKED DOWN A VICTIM,M,58,10.0,PEDESTRIAN,2017-07-07,12.0
7,1645,KMCW 866P SKYGO,MACHAKOS,MACHAKOS,KAVIANI SAIKONI,THE CYCLE KNOCKED DOWN THE VICTIM,F,3,10.0,PEDESTRIAN,2017-07-07,16.0
7,2240,KBY 038A TOYOTA PRADO,NTULELE,NAROK,NAROK MAI MAHIU,VEHICLE KNOCKED DOWN A VICTIM,M,J,60.0,PEDESTRIAN,2017-07-05,22.0
7,1800,KCB 301V MITSUBISH CANTER,BOMET,BOMET,BOMET-NAROK,VEHICLE KNOCKED DOWN A VICTIM,F,25,68.0,PEDESTRIAN,2017-07-06,18.0
7,2240,UNKNOWN,EMBAKASI,NAIROBI,NORTH AIRPORT ROAD,HIT & RUN,M,A,98.0,PEDESTRIAN,2017-07-05,22.0
7,2200,KAX 769P TATA LORRY,STAREHE,NAIROBI,OUTERING ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-07-08,22.0
8,1045,KBX 888U MITSUBISH LORRY,NYERI,NYERI,TAGWA-NDATHI MURRAM ROAD,THE VICTIM TRIED TO BOARD THE MOVING VEHICLE AND FELL OFF,M,A,67.0,PEDESTRIAN,2017-08-01,10.0
8,1230,KBK 287U/ZC 3921 AXOR TRAILER,NAIVASHA,NAKURU,MAAI-MAHIU NAIVASHA,VEHICLE KNOCKED DOWN A VICTIM,M,39,68.0,PEDESTRIAN,2017-08-05,12.0
7,2040,UNKNOWN,INDO AREA,NAIROBI,LUNGALUNGA ROAD,HIT & RUN,M,A,98.0,PEDESTRIAN,2017-07-08,20.0
7,2030,KCH 132E TOYOTA HIACE,NAIVASHA,NAKURU,NAIROBI NAKURU,VEHICLE KNOCKED DOWN A VICTIM,F,50,63.0,PEDESTRIAN,2017-07-08,20.0
7,1730,KBP 438A ISUZU MINI BUS,MAKONGENI,NAIROBI,JOGOO ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-07-08,17.0
7,1130,KBJ 695B TOYOTA MATATU,NAKURU,NAKURU,BISMAK MURRAM ROAD,VEHICLE KNOCKED DOWN A VICTIM,J,2,98.0,PEDESTRIAN,2017-07-08,11.0
7,0400,KBT 569P ISUZU & KCC 189P ASHOK LEYLAND TIPPER,NTULELE,NAROK,NAROK MAI MAHIU,THE ISUZU LOST CONTROLVEERED OFF THE ROAD AND HIT THE TIPPER AND THE VICTIM,M,32,29.0,PEDESTRIAN,2017-07-08,4.0
7,0700,KBV 174D TOYOTA COROLLA,STAREHE,NAIROBI,KIAMBU ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,32,63.0,PEDESTRIAN,2017-07-08,7.0
7,1350,UNKNOWN,LANGATA,NAIROBI,SOUTHERN BY PASS,HIT & RUN,M,A,98.0,PEDESTRIAN,2017-07-09,13.0
7,0800,KCK 029C ISUZU LORRY,EMBU,EMBU,KATHENGE SIAKAGO,VEHICLE KNOCKED DOWN A VICTIM,M,J,7.0,PEDESTRIAN,2017-07-09,8.0
7,2145,KBN 333C MERCEDES BENZ,DAGORETTI,NAIROBI,WAIYAKI WAY,VEHICLE KNOCKED DOWN A VICTIM,M,A,7.0,PEDESTRIAN,2017-07-09,21.0
7,2030,KCJ 720S MATATU,KISUMU,KISUMU,KISUMU NAIROBI,VEHICLE KNOCKED DOWN A VICTIM,M,A,10.0,PEDESTRIAN,2017-07-05,20.0
8,0630,KCC638N TOYOTA FIELDER,EMBAKASI,NAIROBI,MOMBASA ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,39,98.0,PEDESTRIAN,2017-08-05,6.0
7,1720,KCG 133Y MAKE,NYAHURURU,NYANDARUA,NYAHURURU DESTINATION,VEHICLE KNOCKED DOWN A VICTIM,M,A,10.0,PEDESTRIAN,2017-07-05,17.0
6,1730,KTQ 120 ISUZU LORRY,ONGATA RONGAI,KAJIADO,MAGADI,VEHICLE KNOCKED DOWN A VICTIM,M,A,26.0,PEDESTRIAN,2017-06-23,17.0
6,0900,UNKNOWN,KENDU BAY,HOMA BAY,KENDU BAY-KATITO,HIT AND RAN,M,A,98.0,PEDESTRIAN,2017-06-16,9.0
6,0645,UNKNOWN,KAKAMEGA,KAKAMEGA,EKERO EBUHANGA,HIT AND RAN,M,26,98.0,PEDESTRIAN,2017-06-16,6.0
6,2015,KBF 517N NISSAN MATATU,DAGORETI,NAIROBI,WAIYAKI WAY,VEHICLE KNOCKED DOWN A VICTIM,M,59,98.0,PEDESTRIAN,2017-06-18,20.0
6,1900,UNKNOWN,KAKAMEGA,KAKAMEGA,KHAYEGA SHINYALU,HIT & RUN,M,33,7.0,PEDESTRIAN,2017-06-18,19.0
6,1330,KAU 090J/ZF 4842 NEW HOLLAND TRACTOR,KABRAS,KAKAMEGA,SHILONGO FUVARE MURRAM ROAD,THE VICTIM TRIED TO BOARD THE TRACTOR BUT FELL DOWN AND WAS OVERAN BY THE VEHICLE,M,20,69.0,PEDESTRIAN,2017-06-18,13.0
6,2000,KCG 332C TOYOTA MATATU,KENDU BAY,HOMA BAY,KATITU KENDU BAY,VEHICLE KNOCKED DOWN A VICTIM,M,37,98.0,PEDESTRIAN,2017-06-20,20.0
6,1600,KBX 833M/ZF 0301 M/BENZ & KBS 919F/ZD 9324 M/BENZ,MAKUPA,MOMBASA,MULTIPLE HAULIERS ROAD,THE KBX HIT THE KBS WHICH INTURN KNOCKED THE VICTIM,M,32,81.0,PEDESTRIAN,2017-06-20,16.0
6,2100,KCK 342X TOYOTA PREMIO,DAGORETI,NAIROBI,WAIYAKI WAY,VEHICLE KNOCKED DOWN A VICTIM,F,30,98.0,PEDESTRIAN,2017-06-22,21.0
6,1630,UNKNOWN MOTOR CYCLE,OTHAYA,NYERI,CHINGA GAKURU,THE CYCLE KNOCKED DOWN THE VICTIM,M,J,98.0,PEDESTRIAN,2017-06-23,16.0
6,1230,KMEB 631M TVS STAR,TURBO,KAKAMEGA,LWANDETI LUGARI,THE CYCLE KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,2017-06-25,12.0
7,1030,KCH 602U TOYOTA RACTIS,KAKAMEGA,KAKAMEGA,KHAYEGA-SHINYALU,VEHICLE KNOCKED DOWN A VICTIM,M,32,7.0,PEDESTRIAN,2017-07-04,10.0
6,1500,KCA 345U HONDA STREAM,DAGORETI,NAIROBI,WAIYAKI WAY,VEHICLE KNOCKED DOWN A VICTIM,M,A,26.0,PEDESTRIAN,2017-06-30,15.0
6,0820,UNKNOWN,STAREHE,NAIROBI,THIKA SUPERHIGHWAY,HIT & RUN,M,31,63.0,PEDESTRIAN,2017-06-30,8.0
7,0730,KAB 543 543B TOYOTA MATATU,SUBUKIA,NAKURU,NAKURU-SUBUKIA,KNOCKED DOWN A PEDESTRIAN,M,A,63.0,PEDESTRIAN,2017-07-01,7.0
7,2100,KBL 382B,WEBUYE,BUNGOMA,BUNGOMA-WEBUYE,HIT AND KNOCKED DOWN PEDESTRIAN,M,A,7.0,PEDESTRIAN,2017-07-01,21.0
7,2145,KCF253D ISUZU LORRY,NAKURU,NAKURU,NAIROBI-NAKURU,KNOCKED DOWN A PEDESTRIAN,F,A,60.0,PEDESTRIAN,2017-07-02,21.0
7,0730,KCK514G SCANIA BUS,CHANGAMWE,MOMBASA,NAIROBI-MOMBASA,KNOCKED DOWN A PEDESTRIAN,M,40,68.0,PEDESTRIAN,2017-07-02,7.0
7,1730,KAS 135A TOYOTA DX,KIAMBU,KIAMBU,BANANA-KIAMBU,VEHICLE KNOCKED DOWN A VICTIM,M,A,68.0,PEDESTRIAN,2017-07-03,17.0
7,2100,KBK 873D TOYOTA MATATU,KIAMBU,KIAMBU,KIAMBU-RUIRU,VEHICLE KNOCKED DOWN A VICTIM,M,A,7.0,PEDESTRIAN,2017-07-10,21.0
7,2230,KBD 939T/ZD 9020 NISSAN DIESEL TRAILER,CHANGAMWE,MOMBASA,NAIROBI-MOMBASA,VEHICLE KNOCKED DOWN A VICTIM,M,42,29.0,PEDESTRIAN,2017-07-04,22.0
7,2155,KBE 040P SCANIA BUS,DAGORETTI,NAIROBI,WAIYAKI WAY,VEHICLE KNOCKED DOWN A VICTIM,M,49,7.0,PEDESTRIAN,2017-07-09,21.0
7,2140,KAV 877Y MITSUBISHI LORRY,WEBUYE,BUNGOMA,ELDORET BUNGOMA,VEHICLE KNOCKED DOWN A VICTIM,M,A,68.0,PEDESTRIAN,2017-07-13,21.0
7,2345,KBX 087A T/MATATU,KITUI,KITUI,KITUI-KANYONYO,VEHICLE KNOCKED DOWN A VICTIM,M,30,61.0,PEDESTRIAN,2017-07-12,23.0
7,2050,KBY 627R TOYOTA HILUX,KEIYO,ELGEYO MARAKWET,ITEN ELDORET,VEHICLE KNOCKED DOWN A VICTIM,F,27,61.0,PEDESTRIAN,2017-07-19,20.0
7,1800,KBL 392Z TOYOTA PROBOX,KIRITIRI,EMBU,KIVAA-KIRITIRI,VEHICLE KNOCKED DOWN A VICTIM,M,J,10.0,PEDESTRIAN,2017-07-21,18.0
7,2330,KCA 754X SUZUKI SWIFT,ATHI RIVER,MACHAKOS,MOMBASA -NAIROBIU,VEHICLE KNOCKED DOWN A VICTIM,M,A,29.0,PEDESTRIAN,2017-07-21,23.0
7,1815,KBH 134M TOYOTA NADIA,NYAMIRA,NYAMIRA,NYAMIRA KISII,VEHICLE KNOCKED DOWN A VICTIM,M,7,29.0,PEDESTRIAN,2017-07-22,18.0
7,0800,UNKNOWN,BOMET,BOMET,BOMET KAPLONG,HIT & RUN,M,48,98.0,PEDESTRIAN,2017-07-22,8.0
8,1800,KBJ615S TOYOTA HIACE,NAKURU,NAKURU,NAKURU-RAVINE,KNOCKED DOWN A J/PEDESTRIAN,M,J,98.0,PEDESTRIAN,2017-08-03,18.0
8,1900,UNKNOWN MOTOR CYCLE,SUBA,HOMABAY,MBITA-HOMABAY,HIT & RUN,M,J,26.0,PEDESTRIAN,2017-08-03,19.0
8,0600,M/V KAD 956W PEUGEOT 504 &F/A/PED,DTEO LANGATA,NAIROBI,SOUTHERN BY-PASS,VEHICLE KNOCKED DOWN A VICTIM,F,41,98.0,PEDESTRIAN,2017-08-02,6.0
7,0830,KAZ 784M N/SALOON,SAGANA SUB BASE,KIRINYAGA,MAKUTANO SAGANA,VEHICLE KNOCKED DOWN A VICTIM,F,45,,PEDESTRIAN,2017-07-24,8.0
7,1710,KAR 128J TOYOTA MATATU,MAKONGENI,NAIROBI,FIRST AVENUE,VEHICLE KNOCKED DOWN A VICTIM,F,25,68.0,PEDESTRIAN,2017-07-25,17.0
7,2050,KBU 627F T/CRUISER,MTITO ANDEI,MAKUENI,NAIROBI MOMBASA ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,31,60.0,PEDESTRIAN,2017-07-26,20.0
7,1810,KCB 215U T/HIACE,BURUBURU,NAIROBI,OUTERING ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,45,,PEDESTRIAN,2017-07-26,18.0
7,1100,KBD 938P M/BENZ LORRY,GIGIRI,NAIROBI,FIRST PARKLANDS AVENUE,VEHICLE KNOCKED DOWN A VICTIM,M,A,,PEDESTRIAN,2017-07-26,11.0
7,2245,KBS 432X T/SALOON,NYAMIRA,NYAMIRA,MOGOMBO-KEMERA,THE VEHICLE LOST CONTROL VEERING OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,A,26.0,PEDESTRIAN,2017-07-27,22.0
7,1130,KCL 661J L/ROVER,CENTRAL,NAIROBI,KENYATTA AVENUE,VEHICLE KNOCKED DOWN A VICTIM,M,45,98.0,PEDESTRIAN,2017-07-27,11.0
7,1500,KJU 765 FIAT LORRY,CHANGAMWE,MOMBASA,NAIROBI-MOMBASA,THE LORRY OVERAN A PEDESTRIAN WHO TRIED TO STEAL A RIDE,M,30,72.0,PEDESTRIAN,2017-07-27,15.0
7,1050,KBN 702G T/PROBOX,BARINGO,BARINGO,ITEN-KARBANET,VEHICLE KNOCKED DOWN A VICTIM,F,J,7.0,PEDESTRIAN,2017-07-28,10.0
8,1530,M/V KBH 361KBEDFORD LORRY B/DOWN & M/A/PAX,CENTRAL,NAIROBI,KOMBO MUNYIRI RD,HIT A PEDESTRIAN WHILE REVERSING,M,59,,PEDESTRIAN,2017-08-02,15.0
7,1700,KBB812H N/MATATU PEDESTRIAN,VOI,TAITA TAVETA,KASIGU-MAUNGU,M/V HIT A PEDESTRIAN CROSSING THE ROAD,M,J,98.0,PEDESTRIAN,2017-07-30,17.0
7,1630,KCM 570L M/LANCER PEDESTRIAN,MAKINDU,MAKUENI,NAIROBI MOMBASA ROAD,M/V HIT A PEDESTRIAN CROSSING THE ROAD,M,70,60.0,PEDESTRIAN,2017-07-30,16.0
7,1830,KBY 638K ISUZU BUS,MUTHANGARI,NAIROBI,NAIVASHA ROAD,THE PEDESTRIAN FELL DOWN WHILE HE WAS TRYING TO BOARD THE BUS,M,A,72.0,PEDESTRIAN,2017-07-21,18.0
7,2030,KBV 335Y NISSAN VANETTE,KAPSABET,NANDI,ELDORET KAPSABET,VEHICLE KNOCKED DOWN A VICTIM,M,A,10.0,PEDESTRIAN,2017-07-19,20.0
7,2130,KBS 733N/ZE 2798 ACTROS TRAILER,NAKURU,NAKURU,NAIROBI-NAKURU,VEHICLE KNOCKED DOWN A VICTIM,F,A,60.0,PEDESTRIAN,2017-07-12,21.0
7,1830,KBM 823C NISSAN MATATU,DAGORETI,NAIROBI,WAIYAKI WAY,VEHICLE KNOCKED DOWN A VICTIM,M,A,7.0,PEDESTRIAN,2017-07-19,18.0
7,0600,KBP MITSUBISH CANTER,KAYOLE,NAIROBI,KANGUNDO ROAD,VEHICLE KNOCKED DOWN A VICTIM,F,20,60.0,PEDESTRIAN,2017-07-12,6.0
7,1130,KCA 220R M/TIPPER & PEDESTRIAN & KBX 265H N/SALOON,KENDU BAY,HOMABAY,KENDU BAY TOWN SHIP,LOST CONTROL AND RAMMED ON ANOTHER VEHICLE,M,28,63.0,PEDESTRIAN,2017-07-30,11.0
8,2230,KCJ 814M TOYOTA PROBOX,GUCHA,KISII,KEROKA-NYANGUSU,VEHICLE KNOCKED DOWN A VICTIM,M,J,98.0,PEDESTRIAN,2017-08-05,22.0
8,1630,M/V KCF 014L PROBOX $ M/CY KMED 081R TVS,NYAMIRA,NYAMIRA,NYAMIRA-MIRUKA RD,M/V LOST CONTROL HITTING PEDESTRIANS,M,A,26.0,PEDESTRIAN,2017-08-04,16.0
7,0200,KCL 640B PEGEOUT,DAGORETTI,NAIROBI,WAIYAKI WAY,VEHICLE KNOCKED DOWN A VICTIM,M,51,98.0,PEDESTRIAN,2017-07-14,2.0
7,1600,KBT 332C TOYOTA PRADO,KISII,KISII,KISII KISUMU,VEHICLE KNOCKED DOWN A VICTIM,M,J,26.0,PEDESTRIAN,2017-07-14,16.0
7,1300,KTWB 541J PIAGGIO,LIKONI,KILIFI,LIKONI UKUNDA,VEHICLE KNOCKED DOWN A VICTIM,M,55,7.0,PEDESTRIAN,2017-07-14,13.0
11,1430,KBS 518A HONDA CRV,NAROK,NAROK,NAROK-MAU,VEHICLE KNOCKED DOWN A VICTIM,M,80,68.0,PEDESTRIAN,2017-11-06,14.0
7,1730,KCA 113G M/BENZ,CENTRAL,NAIROBI,UHURU HIGHWAY,VEHICLE KNOCKED DOWN A VICTIM,M,36,63.0,PEDESTRIAN,2017-07-15,17.0
7,1700,KCC 016P LEYALND LORRY,KAYOLE,NAIROBI,KANGUNDO ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-07-15,17.0
6,1330,KBA 923B PREMIO,NYAMIRA,NYAMIRA,NYAMIRA KISII ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,10,98.0,PEDESTRIAN,2017-06-11,13.0
7,2130,UNKNOWN,MUMIAS,KAKAMEGA,MUMIAS KAKAMEGA,HIT & RUN,F,A,98.0,PEDESTRIAN,2017-07-16,21.0
8,2120,M/V/KAS 326G I/M/BUS $ PEDS,DTEO CENTRAL,NAIROBI,TOM MBOYA STREET,M/V HIT PEDESTRIANS CROSSING THE ROAD,F,35,10.0,PEDESTRIAN,2017-08-04,21.0
7,2020,KMDY 585T HERO,NYERI,NYERI,NYERI MATHARI,VEHICLE KNOCKED DOWN A VICTIM,M,57,98.0,PEDESTRIAN,2017-07-16,20.0
8,2140,KAZ587Q TOYOTA DUET,MATUU,MACHAKOS,MATUU-MWINGI,KNOCKED DOWN A PEDESTRIAN,M,A,8.0,PEDESTRIAN,2017-08-03,21.0
8,2030,KAM394W TOYOTA MATATU,VIHIGA VIHIGA,VIHIGA,LUANDA-MAJENGO,KNOCKED DOWN A PEDESTRIAN,M,A,59.0,PEDESTRIAN,2017-08-03,20.0
7,1900,UNKNOWN,LARI,KIAMBU,NAIROBI NAIVASHA,HIT & RUN,M,26,60.0,PEDESTRIAN,2017-07-16,19.0
7,1600,KCH 988Z TOYOTA MATATU,KEROKA,KISII,KISII KEROKA,VEHICLE KNOCKED DOWN A VICTIM,M,J,7.0,PEDESTRIAN,2017-07-19,16.0
7,1600,KCL 573Y/ZF 6874 FAW,ATHI RIVER,MACHAKOS,NAIROBI MOMBASA,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-07-19,16.0
6,1100,KBM 117V BUS,MUTHANGARI,NAIROBI,MATHIORA ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-06-11,11.0
7,2000,T259CNS SUZUKI VITARA,KAJIADO,KAJIADO,KAJIADO ISINYA,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-07-15,20.0
6,0210,UNKNOWN,LIMURU,KIAMBU,LIMURU KWABIRA,HIT & RUN,M,30,98.0,PEDESTRIAN,2017-06-11,2.0
5,0530,KAW 846G ISUZU BUS,MAKONGENI,NAIROBI,JOGOO ROAD,VEHICLE KNOCKED DOWN A VICTIM,M,A,98.0,PEDESTRIAN,2017-05-23,5.0
3,2050,KCH 294S TOYOTA MATATU,MATUU,MACHAKOS,MATUU THIKA,VEHICLE KNOCKED DOWN A VICTIM,M,A,68.0,PEDESTRIAN,2017-03-14,20.0
3,2230,KBU 238S TOYOTA SALOON,KIAMBU,KIAMBU,NAIROBI NAIVASHA,VEHICLE KNOCKED DOWN A VICTIM,M,A,68.0,PEDESTRIAN,2017-03-14,22.0
3,1600,UNKNOWN M/V,KIAMBU,KIAMBU,NORTHEN BY PASS,HIT & RUN,M,60,7.0,PEDESTRIAN,2017-03-14,16.0
3,1100,KAU 544A MITSUBISHI CANTER,KIAMBU,KIAMBU,NORTHERN BY PASS,VEHICLE KNOCKED DOWN A VICTIM,M & F,A,11.0,PEDESTRIAN,2017-03-16,11.0
3,2100,KBT 760F TOYOTA FIELDER,MWEA,KIRINYAGA,KENOL MAKUTANO,VEHICLE KNOCKED DOWN A VICTIM,M,45,63.0,PEDESTRIAN,2017-03-17,21.0
3,1430,T830 ATE MINI CANTER,ISIBANIA,MIGORI,NYABOHANSE KOMOMWAMU,VEHICLE KNOCKED DOWN A VICTIM,F,4,19.0,PEDESTRIAN,2017-03-17,14.0
3,1900,UNKNOWN M/V & M/J/PED,KINDU-BAY,HOMA-BAY,KINDU-BAY KATITU,VEHICLE KNOCKED DOWN A VICTIM,M,8,98.0,PEDESTRIAN,2017-03-18,19.0
