Month,TIME_24_HOURS,MV_INVOLVED,BASE_SUB_BASE,COUNTY,ROAD,BRIEF_ACCIDENT_DETAILS,GENDER,AGE,CAUSE_CODE,VICTIM_TYPE,Date,Hour
9,2340,KMED 639Y SANYA,THIKA,KIAMBU,KIBOKO THIKA,THE CYCLE LOST CONTROL AND HIT A TREE,M,A,26.0,M/CYCLIST,2017-09-13,23.0
9,2040,KMCK 808Z TVS,KISUMU,KISUMU,KONDOLE-NYAMASARIA,THE UNKNOWN VEHICLE HIT THE MOTOR CYCLE,M,A,98.0,M/CYCLIST,2017-09-19,20.0
5,1140,UNKNOWN,ONGATA RONGAI,KAJIADO,NAIROBI KISERIAN,THE VEHICLE VEERED OFF THE ROAD,M,A,26.0,M/CYCLIST,2017-05-29,11.0
9,1630,KCH 930B & KMDU 770V BAJAJ,SIAYA,SIAYA,SIAYA-DOMINION,THE VEHICLE HIT THE MOTOR CYCLE,M,A,26.0,M/CYCLIST,2017-09-19,16.0
9,1200,KCK 447V TOWNACE & KMEA 970L,KAPENGURIA,WEST POKOT,MAKUTANO KITALE ROAD,HEAD ON COLLISSION,M,A,8.0,M/CYCLIST,2017-09-13,12.0
5,1130,KMDY 301W SKYGO & KBU 225W MITSUBISHI LORRY,MOYALE,MARSABIT,MOYALE TOWN,THE LORRY OVERAN THE MOTOR CYCLE,M,A,45.0,M/CYCLIST,2017-05-12,11.0
9,2230,KBL 383Z ISUZU CANTER & KMDU 980U TVS STAR,KAPSABET,NANDI,KAPSABET-LESSOS,HEAD ON COLLISSION,M,35,37.0,M/CYCLIST,2017-09-18,22.0
5,1200,"KMCT 837P CAPTAIN, KCD 807C TOYOTA VITS AND KAS 219Z NISSAN MATATU",KARURI,KIAMBU,BANANA- RUAKA,M.CYCLIST RAMMED INTO THE REAR OF THE SAID VITS AND DUE TO IMPACT THE RIDER WAS THROWN ON THE RIGHT SIDE OF THE ROAD WHERE HE WAS HIT BY THE MATATU AND DIED ON THE SPOT.,M,31,77.0,M/CYCLIST,2017-05-21,12.0
7,1730,KBQ 419C SCANIA BUS & KBW 286H ISUZU CANTER & KMDA 105W,KISII,KISII,KISII MIGORI,THE BUS LOT CONTROL DUE TO BRAKE FAILURE AND RAMMED INTO THE CANTER WHICH HIT THE M/CYCLE,M,A,78.0,M/CYCLIST,2017-07-24,17.0
7,2200,KBW 510P ISUZU BUS & KMEA 050T BAJAJ BOXER,KISUMU,KISUMU,KISUMU-BUSIA,HEAD ON COLLISSION,M,A,39.0,M/CYCLIST,2017-07-25,22.0
3,1700,KAS 514M ISUZU MINI BUS,DAGORETI,NAIROBI,KAWANGWARE,THE M/V HIT UNREGISTERED M/CYCLE KILLING HIM ON THE SPOT.,M,35,14.0,M/CYCLIST,2017-03-27,17.0
8,2300,"KBF 633K TOYOTA SALOON,KMDX 282X HAUJIN",KAJIADO,KAJIADO,NGONG KISERIAN,THE VEHICLE HIT THE M/CYCLE FROM BEHIND,M,A,4.0,M/CYCLIST,2017-08-27,23.0
5,1830,KYT 044 DATSUN P/UP AND KMDN 763S RANGER,OL KALOU,NYANDARUA,OL KALOU- KARIAMU,P/UP DRIVER COLLUDED HEAD ON WITH M/CYCLE. M/CYCLIST DIED ON THE SPOT.,M,19,37.0,M/CYCLIST,2017-05-19,18.0
9,2050,KMDL 385T SKYGO,MAKINDU,MAKUENI,NAIROBI - MOMBASA,THE MOTOR CYCLE LOST CONTROL AND HIT A HUGE STONE WHERE HE FELL DOWN,M,59,7.0,M/CYCLIST,2017-09-18,20.0
5,0730,KCF 491C TOYOTA HIACE AND KMDC 061F TIGER,KIAMBU,KIAMBU,NORTHERN BY- PASS,M/V DRIVER HIT A M/CYCLIST WHO DIED ON THE SPOT.,M,32,22.0,M/CYCLIST,2017-05-19,7.0
5,2030,KMDB 465G BOXER,ELDORET,UASIN GISHU,ELDORET- WEBUYE,M/CYCLIST HIT A HUGE ROCK WHICH WAS ON THE ROAD WHERE THE RIDER FALL DOWN AND DIED ON THE SPOT.,M,A,10.0,M/CYCLIST,2017-05-19,20.0
7,1400,"KBM 112K T/WISH,KTWB 408J BAJAJ &KMDN 693U",GARISSA,GARISSA,GARISSA-KISMAIYO,THE VEHICLE KNOCKED THE TUKTUK AND COLLIDED WITH M/CYCLE,M,36,7.0,M/CYCLIST,2017-07-12,14.0
9,1640,KCA 810N LORRY & M/CYCLE,DTEO EMBAKASI,NAIROBI,EASTERN BY PASS,VEHICLE KNOCKED DOWN A VICTIM,M,A,29.0,M/CYCLIST,2017-09-17,16.0
7,0230,KMCA 456U KINGBIRD,OTHAYA,NYERI,IRINDI-GATUGI,"THE M/CYCLE LOST CONTROL, VEERING OFF THE ROAD AND HIT A CALVERT",M,32,26.0,M/CYCLIST,2017-07-25,2.0
7,0600,KCH 169S & KMDF 598G MAKE TIGER,MAUA,MERU,MAUA KIUTUNI,THE VEHICLE LOST CONTROL AND HIT THE M/CYCLIST,M,30,26.0,M/CYCLIST,2017-07-24,6.0
3,2330,KAK 769X NISSAN LORRY & KMCR 502W BOXER,KIKUYU,KIAMBU,NAIVASHA -NAIROBI,THE VEHICLE COLLIDED HEAD ON WITH THE M/CYCLIST,M,33,57.0,M/CYCLIST,2017-03-31,23.0
5,1200,KMDT 467R TVS STAR,KISII,KISII,KISII-MARAMI,DRIVER OF THE SAID VEHICLE RAN OVER THE SAID M/CYCLE FATALLY INJURING THE RIDER.,1,A,10.0,M/ CYCLIST,2017-05-15,12.0
6,2230,M/V KBB 168W T/110 & KBM 568H TIPPER LORRY,TIGONI,KIAMBU,LIMURU KIAMBU ROAD,THE M/V TOYOTA 110 FAILED TO GOVE WAY AND WAS HIT BY THE SAID TRIPPER LORRY AS ARESULT OF THE ACCIDENT THE DRIVER OF 110 AND F/A/PASSENGER DIED ON THE SPOT,M/F,A,25.0,DRIVER PASSENGER,2017-06-17,22.0
5,2245,GKA 022R TOYOTA PRADO AND KBV 065H M/BENZ TRAILOR,ATHI RIVER,MACHAKOS,NAIROBI- MOMBASA,M/V COLLUDED HEAD ON WITH A TRAILOR WHERE ON F/A PASSENGER AND M/V DRIVER DIED ON THE SPOT.,M AND F,34 AND 24,10.0,DRIVER AND PASSENGER,2017-05-14,22.0
8,0320,KAQ494X TOYOTA LEXUS AND KAH042X TOYOTA LAND CRUISER,RUIRU,KIAMBU,THIKA SUPER HIGHWAY,LOST CONTROL AND RAMMED INTO THE OTHER M/V,M,A,26.0,DRIVER 2 PASSANGERS,2017-08-03,3.0
8,0630,KTCB 622R MESSEY FRRGUSON TRACTOR & KCD 602Y MATATU,LONDIANI,KERICHO,MAU SUMMIT -KERICHO,THE MATATU RAMMED INTO THE TRACTOR,M,A,29.0,DRIVER & PASSENGER,2017-08-30,6.0
8,2000,KAR 465Z/ZB 9852 ACTROS TRAILER,SUBUIGA,MERU,MERU-NANYUKI,THE VEHICLE LOST CONTROL AND VEERED OF THE ROAD,M,A,78.0,DRIVER & PASSENGER,2017-08-01,20.0
5,0630,KCK 274B T/RAUM & KCB 742F/ZF 4779 ACTROS,ATHI RIVER,MACHAKOS,MOMBASA- NAIROBI,HEAD ON COLLISSION,M&F,A,11.0,DRIVER & PASSENGER,2017-05-03,6.0
7,0215,KBJ 007H TOYOTA ALLION & TRAILER,SALGAA,NAKURU,NAKURU-ELDORET,HEAD ON COLLISSION,M,A,10.0,DRIVER & PASSENGER,2017-07-21,2.0
7,0630,KBB 178K/ZC 9861 M/BENZ TAILER,KERICHO,KERICHO,KERICHO-KISUMU,THE TRAILER BREAK FAILED AND LOST CONTROL VEERING OFF THE ROAD AND OVERTURNED,M,A,78.0,DRIVER & PASSENGER,2017-07-27,6.0
7,2000,KBD 414W MITSUBISH PRIVER MOVER,KONDELE,KISUMU,KISUMU-KAKAMEGA,LOST CONTRL AND DASHED IN A DITCH,M,47,78.0,DRIVER & 2 PASSENGERS,2017-07-02,20.0
7,1720,KBR911H/ZE 0460 ACTORS TRAILER & KBV840D TOYOTA G-TOURING,ATHI RIVER,MACHAKOS,NAIROBI-MOMBASA,COLLIDED HEAD ON,M&F,"46,47,34",8.0,DRIVER & 2 PASSENGERS,2017-07-02,17.0
5,1410,M/V KBW 1301/ ZB 8450 M/BENZ AND KBJ 058B T/COROLLA,ATHI RIVER,MACHAKOS,NAIROBI- MOMBASA,DRIVER WAS OVERTAKING CARELESSLY AND IN THE PROCCESS COLLUDED HEAD ON WITH THE SAID M/BENZ.DRIVER OF TOYOTA COROLLA DIED ON THE SPOT.,M,A,10.0,DRIVER,2017-05-20,14.0
2,1250,KBM 538C/ZD 4310 ACTROS & KCK 341Q/ZF 5344,NAKURU,NAKURU,NAIROBI-NAKURU,THE VEHICLES COLLIDED HEAD ON,M,A,37.0,DRIVER,2017-02-22,12.0
11,1515,KTCB 472K JOHN DEER,LONDIANI,KERICHO,KERICHO-NAKURU,"THE VEHICLE LOST CONTROL,VEERING OFF THE ROAD AND LANDED INTO A DITCH",M,25,26.0,DRIVER,2017-11-06,15.0
5,0230,M/V KBL 266B T/PREMIO,DTEO INDO- AREA,NAIROBI,MOMBASA ROAD,M/V DRIVER LOST CONTROL AND ROLLED LANDING INTO A DITCH.DRIVER DIED ON THE SPOT.,M,A,26.0,DRIVER,2017-05-13,2.0
7,2200,KBF 184U TOYOTA SPACIO & KHMA 043F JCB,RUIRU,KIAMBU,EASTERN BYPASS,COLLIDED HEAD ON,F,A,10.0,DRIVER,2017-07-01,22.0
9,2030,KCA 377R FAW LORRY & KCH 952M SALOON,KILIFI,KILIFI,KILIFI-MALINDI,HEAD ON COLLISSION,M,A,26.0,DRIVER,2017-09-19,20.0
9,2000,KBL 987N P/UP,VOI,TAITA TAVETA,MOMBASA-NAIROBI,THE VEHICLE LOST CONTROL AND RAMMED INTO A CULVERT,M,A,26.0,DRIVER,2017-09-19,20.0
8,1730,KCK 444J TOYOTA HIACE,KENDU BAY,HOMA BAY,KENDU BAY-KATITO,THE VEHICLE LOST CONTROL AND ROLLED SEVERALLY,M,A,26.0,DRIVER,2017-08-08,17.0
8,1700,M/V KAU092U T/HILLUX P/UP,MOYALE P/STN,MARSABIT,,LOST CONTROL AND ROLLED SEVERALLY AND LANDED INTO A DITCH,M,30,26.0,DRIVER,2017-08-04,17.0
5,2000,M/V KBT 604C MISTUBISHI GDP AND AN OX CART.,RUNYENJES,EMBU,KAWANJARA- ISHIARA,N/V HIT THE OX-CART KILING THE CART DRIVER ON THE SPOT.,M,A,63.0,DRIVER,2017-05-13,20.0
7,1050,KBW 718W TOYOTA PROBOX,KITUI,KITUI,KITUI-MACHAKOS,THE VEHICLE HIT ANOTHER M/V,M,A,98.0,DRIVER,2017-07-21,10.0
7,0700,KBP 906V MITSUBISHI FUSO AND KAD 578X MITSUBISHI FUSO,MTITO ANDEI,MAKUENI,NAIRBI MOMBASA,HEAD ON COLLISSION,M,A,10.0,DRIVER,2017-07-07,7.0
5,1030,KCL 0290 FAW TIPPER,KEROKA,KISII,KEROKA-KISII,"THE VEHICLE LOST CONTROL, VEERING OFF THE ROADAND OVERTURNED",M,30,26.0,DRIVER,2017-05-18,10.0
8,1830,KBW 086T ISUZU BUS,INDO AREA,NAIROBI,UHURU HIGH WAY,THE VEHICLE LOST CONTROL AND ROLLED SEVERALLY,M,A,26.0,DRIVER,2017-08-08,18.0
7,0730,KCL 792C TOYOTA SIENTA,MERU,MERU,CHUKA-EMBU,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND ROLLED SEVERAL TIMES",M,A,26.0,DRIVER,2017-07-03,7.0
8,0400,"KBW 509 ISUZU BUS, KCH 982B ISUZU LORRY & KCC241P TOYOTA MATATU",NAIVASHA,NAKURU,NAKURU-NAIROBI,HEAD ON COLLISSION,M,40,10.0,DRIVER,2017-08-05,4.0
11,1330,KCH 953T TATA TIPPER,KIPIPIRI,NYANDARUA,MIHARATI-ENGINEER ROAD,THE VEHICLE LOST CONTROL AND DRIVER WAS THROWN OUT,M,40,26.0,DRIVER,2017-11-05,13.0
8,1740,KAK 020E T/COROLLA,KERICHO,KERICHO,KERICHO-NAKURU,THE VEHICLE LOST CONTROL AND ROLLED SEVERALLY,M,A,26.0,DRIVER,2017-08-08,17.0
7,2300,KAU 240N PRADO,GARISSA,GARISSA,MASALANI GARISSA,THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES,M,A,26.0,DRIVER,2017-07-05,23.0
3,1800,KTWA 790U PIAGGIO TUKTUK & KBE 597H HUMMER,DIANI,KILIFI,UKUNDA BEACH ROAD,HEAD ON COLLISSION,M,35,10.0,DRIVER,2017-03-01,18.0
9,0430,KAX 709E TOYOTA COROLLA,SUBUKIA,NAKURU,NYAURURU NAKURU,THE VEHICLE LOST CONTROLAND ROLLED SEVERAL TIMES,M,A,98.0,DRIVER,2017-09-17,4.0
8,1630,KAP 238A FUSO LORRY & KCC 179H/ZE 8738 FAW,KARURI,KIAMBU,LIMURU NAIROBI,HEAD ON COLLISSION,M,35,72.0,DRIVER,2017-08-18,16.0
5,1230,KBH 286M TOYOTA NZE,STAREHE,NAIROBI,KIAMBU ROAD,UNIDENTIFIED M/V LOST CONTROL VEERING OFF THE ROAD AND LANDED INTO KARURA RIVER KILLING THE DRIVER ON THE SPOT.,M,A,98.0,DRIVER,2017-05-23,12.0
7,2000,KAZ 142A T/DUET & KCG 375Y,AHERO,KISUMU,AWASI KERICHO,HEAD ON COLLISSION,M,A,37.0,DRIVER,2017-07-24,20.0
7,0700,KBZ 404U TOYOTA FIELDER,KAREN,NAIROBI,SOUTHERN,VEERED OFF THE HITTING GUARD RAILS ON THE ROAD SIDE,M,A,26.0,DRIVER,2017-07-01,7.0
7,1400,KBY 939F ISUZU &KCG 343Y MITSUBISH FH TANKER,KERICHO,KERICHO,KERICHO-LONDAINI,THEVEHICLE WAS ON A HILL AND STARTED MOVING BACKWARD AND HIT THE TANKER,M,31,81.0,DRIVER,2017-07-29,14.0
8,2230,"KAN 551P NISSAN MATATU,KBB 519P NISSAN MATATU",DIANI,KWALE,MSAMBWENI UKUNDA,HEAD ON COLLISSION,M,A,26.0,DRIVER,2017-08-27,22.0
10,2030,KAW 645Q/ZD 8912 ACTROS TRAILER &KCJ 879E NISSAN XTRAIL,GILGIL,NAKURU,GILGIL NAIVASHA,HEAD ON COLLISSION,M,A,10.0,DRIVER,2017-10-23,20.0
10,2000,KCH 130J/ZD 0127 MITSUBISH TRAILER & KCG 613R/ZF 3029 DAF TRAILER,VOI,TAITA TAVETA,NAIROBI MOMBASA ROAD,HEAD ON COLLISSION,M,60,29.0,DRIVER,2017-10-23,20.0
7,1120,KBC 367S TOYOTA COROLLA AND KBE 431Y/ZC 4131 MERCEDES BENZ,MAKINDU,MAKUENI,NAIROBI MOMBASA,HEAD ON COLLISSION,M,A,10.0,DRIVER,2017-07-09,11.0
9,0130,KBX 537N NZE & GKB 556C T/L/CRUISER,DTEO KILIMANI,NAIROBI,EASTERN BY PASS,HEAD ON COLLISSION,M,A,26.0,DRIVER,2017-09-17,1.0
6,2030,KBW 543X ISUZU LORRY & KBL 073Q TOYOTA WISH,CHUKA,MERU,CHOGORIA CHUKA,HEAD ON COLLISSION,M,46,29.0,DRIVER,2017-06-20,20.0
7,1500,KAG 921R MITSUBISHI LORRY,INDO AREA,NAIROBI,ENTERPRISE ROAD,"THE LORRY LOST CONTROL, VEERING OFF THE ROAD AND ROLLED",M,A,98.0,DRIVER,2017-07-27,15.0
8,2200,KBS 351L PROBOX & TUKTUK KTWB 799G,DIANI,KWALE,UKUNDA LIKONI ROAD,HEAD ON COLLISSION,M,27,10.0,DRIVER,2017-08-15,22.0
