FID,DHSID,DHSCLUST,LAT,LONG,ITN_Covera
1137,KE201400001447,1447,-0.589288,35.257963,0.535463887
1138,KE201400001448,1448,-0.591624,35.224002,0.541607319
1139,KE201400001449,1449,-0.892797,35.037403,0.593594941
1140,KE201400001450,1450,-0.842082,35.151825,0.569714909
1141,KE201400001451,1451,-0.694253,35.081947,0.60349393
1142,KE201400001452,1452,-0.689667,35.117046,0.57165534
1143,KE201400001453,1453,-0.68156,35.125071,0.577445868
1144,KE201400001454,1454,-0.695824,35.27911,0.540472904
1145,KE201400001455,1455,-0.761427,35.316538,0.532785259
1146,KE201400001456,1456,-0.690745,35.274238,0.539653046
1147,KE201400001457,1457,-0.797883,35.330814,0.537525087
1148,KE201400001458,1458,-0.812698,35.324192,0.537525087
1149,KE201400001459,1459,-0.762919,35.402807,0.50770627
1150,KE201400001460,1460,-0.656315,35.33958,0.528959697
1151,KE201400001461,1461,-0.681547,35.246099,0.543753724
1152,KE201400001462,1462,-0.72113,35.322466,0.52432551
1153,KE201400001463,1463,-0.789954,35.338411,0.52051555
1154,KE201400001464,1464,-0.762671,35.319324,0.537120191
1155,KE201400001465,1465,-0.825222,35.405156,0.512042083
1156,KE201400001466,1466,-0.793262,35.42548,0.511305452
1157,KE201400001467,1467,-0.832445,35.444588,0.505469308
1158,KE201400001468,1468,-0.948789,35.386965,0.519995467
1159,KE201400001469,1469,-0.996636,35.236256,0.551341972
1160,KE201400001470,1470,-1.003358,35.276106,0.544672663
1161,KE201400001471,1471,-0.883526,35.233769,0.548297791
1162,KE201400001472,1472,-0.954275,35.207515,0.552846436
1163,KE201400001473,1473,-0.897654,35.167563,0.561939369
1164,KE201400001474,1474,0.304648,34.692785,0.566319904
1165,KE201400001475,1475,0.322075,34.70972,0.565092956
1166,KE201400001476,1476,0.325561,34.629113,0.584865027
1167,KE201400001477,1477,0.434206,34.681026,0.578554635
1168,KE201400001478,1478,0.289493,34.756468,0.540383685
1169,KE201400001479,1479,0.293082,34.747117,0.554411916
1170,KE201400001480,1480,0.304711,34.777133,0.541907902
1171,KE201400001481,1481,0.272332,34.753309,0.540383685
1172,KE201400001482,1482,0.314432,34.776763,0.541907902
1173,KE201400001483,1483,0.220104,34.681515,0.572107229
1174,KE201400001484,1484,0.199015,34.770463,0.554355729
1175,KE201400001485,1485,0.512855,34.773401,0.569187837
1176,KE201400001486,1486,0.375991,34.788127,0.55830816
1177,KE201400001487,1487,0.497949,34.835408,0.566786886
1178,KE201400001488,1488,0.391379,34.769475,0.56084656
1179,KE201400001489,1489,0.219654,34.87053,0.55510937
1180,KE201400001490,1490,0.227373,34.812265,0.553484163
1181,KE201400001491,1491,0.567985,34.784985,0.562449313
1182,KE201400001492,1492,0.642872,34.847386,0.554550215
1183,KE201400001493,1493,0.644525,34.940469,0.550190194
1184,KE201400001494,1494,0.642246,35.004217,0.543815904
1185,KE201400001495,1495,0.789392,35.108515,0.521289945
1186,KE201400001496,1496,0.826533,35.122979,0.502946623
1187,KE201400001497,1497,0.868692,35.111148,0.498280275
1188,KE201400001498,1498,0.375835,34.467169,0.579656089
1189,KE201400001499,1499,0.468339,34.488422,0.583673879
1190,KE201400001500,1500,0.409152,34.361391,0.586404141
1191,KE201400001501,1501,0.233663,34.430836,0.593320413
1192,KE201400001502,1502,0.225574,34.438099,0.592110565
1193,KE201400001503,1503,0.340168,34.499054,0.578600698
1194,KE201400001504,1504,0.347007,34.494847,0.578600698
1195,KE201400001505,1505,0.319699,34.444913,0.589815943
1196,KE201400001506,1506,0.311471,34.581158,0.59121027
1197,KE201400001507,1507,0.284916,34.624791,0.584224243
1198,KE201400001508,1508,0.28255,34.461206,0.589624409
1199,KE201400001509,1509,0.203912,34.512882,0.594691663
1200,KE201400001510,1510,0.17861,34.559141,0.595711559
1201,KE201400001511,1511,0.179715,34.483165,0.597148911
1202,KE201400001512,1512,0.114844,34.722816,0.570099147
1203,KE201400001513,1513,0.11063,34.688426,0.585931811
1204,KE201400001514,1514,0.072738,34.685017,0.585399442
1205,KE201400001515,1515,0.093099,34.721793,0.570099147
1206,KE201400001516,1516,0.136901,34.717035,0.564697197
1207,KE201400001517,1517,0.138961,34.809129,0.554914014
1208,KE201400001518,1518,0.079927,34.786202,0.567089772
1209,KE201400001519,1519,0.110498,34.767281,0.563040551
1210,KE201400001520,1520,0.150079,34.809169,0.552811194
1211,KE201400001521,1521,0.0525,34.713821,0.572461381
1212,KE201400001522,1522,0.051701,34.683006,0.586935311
