,X,Y,grid_code,B8,B4,B3,B2,NDVI,MSAVI,EVI,LAI,RGR,RGI,OSAVI,AGB,year
11,153.1543121,-27.6664772,0.1997966,1925,1170,1158,1325,0.24394184350967407,0.39214587857441074,0.20954759922286983,0.6401432139883431,1.0103627443313599,-0.005154639016836882,0.24392923144522416,12.641381443298968,2015
12,153.1567535,-27.6659641,0.1999086,3013,1360,1292,1244,0.3780013620853424,0.5485815400211322,0.34894030228827144,1.144466013678966,1.0526316165924072,-0.025641025975346565,0.37798754218917213,7.058923076923077,2015
13,153.1564484,-27.666235,0.201763,2780,1113,1095,1161,0.4282044768333435,0.5995971078386901,0.38765638807497327,1.284540812055253,1.016438364982605,-0.008152173832058907,0.4281868713333128,11.824565217391303,2015
14,153.156662,-27.6660538,0.2034094,3104,1293,1254,1241,0.4118717312812805,0.5834015714917768,0.3918386775715089,1.2996723354537192,1.0311005115509033,-0.015312131494283676,0.4118567438983344,9.873505300353358,2015
15,153.1552429,-27.6665936,0.2047433,2646,998,1039,1117,0.45225027203559875,0.6227825161649889,0.40169648515575496,1.3353378832935214,0.9605389833450317,0.020127639174461365,0.45223041798384267,19.530701030927833,2015
16,153.1555481,-27.6665936,0.2053512,2456,829,924,1033,0.4952815771102905,0.6624137577828151,0.42008778724502976,1.4018776142525176,0.8971861600875854,0.054192811250686646,0.49525746082382593,28.81332458642327,2015
17,153.156662,-27.6661453,0.2054312,2629,1122,1098,1140,0.401759535074234,0.5731752291012526,0.3484876514660994,1.1428283230043474,1.0218579769134521,-0.010810811072587967,0.4017423943526803,11.100097297297296,2015
18,153.1547394,-27.6665936,0.2062429,2735,1139,1124,1165,0.41197729110717773,0.5835021887778566,0.36837003185154416,1.2147627752388868,1.0133452415466309,-0.0066283694468438625,0.41196027009725983,12.23979584622183,2015
19,153.1568604,-27.6660538,0.2078816,2341,914,951,1046,0.4384024441242218,0.6095177262136531,0.3574649298597194,1.1753081162324648,0.9610936045646667,0.01983914151787758,0.43838090907973803,19.452086863270775,2015
20,153.1565552,-27.6664143,0.2090621,2814,957,1084,1120,0.4924423098564148,0.659874832971127,0.4571189444663253,1.5358563410791648,0.8828413486480713,0.06222439929842949,0.49242143001092503,31.001900048995587,2015
21,153.1568604,-27.6658745,0.2093198,2905,1134,1150,1172,0.4384748637676239,0.6095975923635706,0.40548585035259643,1.349047806575694,0.9860869646072388,0.007005253806710243,0.4384575010645778,15.954903677758319,2015
22,153.1553345,-27.6665936,0.2113716,2646,998,1039,1117,0.45225027203559875,0.6227825161649889,0.40169648515575496,1.3353378832935214,0.9605389833450317,0.020127639174461365,0.45223041798384267,19.530701030927833,2015
23,153.1554413,-27.6665936,0.2120591,2497,878,1005,1084,0.4797036945819855,0.648332399379342,0.42008303061754015,1.4018604047742604,0.8736318349838257,0.06744556874036789,0.47968096327285226,32.4246468401487,2015
24,153.1567535,-27.6660538,0.2124537,3104,1293,1254,1241,0.4118717312812805,0.5834015714917768,0.3918386775715089,1.2996723354537192,1.0311005115509033,-0.015312131494283676,0.4118567438983344,9.873505300353358,2015
25,153.1556396,-27.6665936,0.2131099,2456,829,924,1033,0.4952815771102905,0.6624137577828151,0.42008778724502976,1.4018776142525176,0.8971861600875854,0.054192811250686646,0.49525746082382593,28.81332458642327,2015
26,153.1558533,-27.6665936,0.2156448,2382,687,863,984,0.5522971749305725,0.7115438183850529,0.46443445857080223,1.5623238711091623,0.7960602641105652,0.1135483905673027,0.5522683731053448,44.98748129032258,2015
27,153.1551361,-27.6665936,0.2157526,2444,1085,1064,1132,0.38509494066238403,0.5560051425072743,0.324684633027523,1.0567090022935783,1.019736886024475,-0.009771986864507198,0.3850774688594453,11.383172638436482,2015
28,153.1568604,-27.6659641,0.2160317,2687,1070,1065,1155,0.43039658665657043,0.6017417847770048,0.387045813586098,1.2823317535545025,1.0046948194503784,-0.0023419202771037817,0.43037826443377447,13.40783606557377,2015
