OBJECTID,grid_code,X,Y
218,0.3579164,153.1553802,-27.6632347
219,0.3579164,153.1553955,-27.6632347
220,0.3579164,153.1553955,-27.6632347
221,0.3579164,153.1554108,-27.6632347
222,0.3579164,153.155426,-27.6632347
223,0.3579164,153.155426,-27.6632347
224,0.3652357,153.1554413,-27.6632347
225,0.3652357,153.1554413,-27.6632347
226,0.3652357,153.1554565,-27.6632347
227,0.3652357,153.1554718,-27.6632347
228,0.3652357,153.1554718,-27.6632347
229,0.3652357,153.1554871,-27.6632347
230,0.3652357,153.1554871,-27.6632347
231,0.3652357,153.1555023,-27.6632347
232,0.3652357,153.1555176,-27.6632347
233,0.3652357,153.1555176,-27.6632347
234,0.3652357,153.1555328,-27.6632347
235,0.337967,153.1555328,-27.6632347
236,0.337967,153.1555481,-27.6632347
237,0.337967,153.1555481,-27.6632347
238,0.337967,153.1555634,-27.6632347
239,0.337967,153.1555786,-27.6632347
240,0.337967,153.1555786,-27.6632347
241,0.337967,153.1555939,-27.6632347
242,0.337967,153.1555939,-27.6632347
243,0.337967,153.1556091,-27.6632347
244,0.337967,153.1556244,-27.6632347
245,0.337967,153.1556244,-27.6632347
246,0.341639,153.1551514,-27.6632423
247,0.341639,153.1551666,-27.6632423
248,0.341639,153.1551666,-27.6632423
249,0.341639,153.1551819,-27.6632423
250,0.341639,153.1551819,-27.6632423
251,0.341639,153.1551971,-27.6632423
252,0.341639,153.1552124,-27.6632423
253,0.341639,153.1552124,-27.6632423
254,0.341639,153.1552277,-27.6632423
255,0.3623745,153.1552277,-27.6632423
256,0.3623745,153.1552429,-27.6632423
257,0.3623745,153.1552429,-27.6632423
258,0.3623745,153.1552582,-27.6632423
259,0.3623745,153.1552734,-27.6632423
260,0.3623745,153.1552734,-27.6632423
261,0.3623745,153.1552887,-27.6632423
262,0.3623745,153.1552887,-27.6632423
263,0.3623745,153.155304,-27.6632423
264,0.3623745,153.1553192,-27.6632423
265,0.3623745,153.1553192,-27.6632423
266,0.3623745,153.1553345,-27.6632423
267,0.3579164,153.1553345,-27.6632423
268,0.3579164,153.1553497,-27.6632423
269,0.3579164,153.155365,-27.6632423
270,0.3579164,153.155365,-27.6632423
271,0.3579164,153.1553802,-27.6632423
272,0.3579164,153.1553802,-27.6632423
273,0.3579164,153.1553955,-27.6632423
274,0.3579164,153.1553955,-27.6632423
275,0.3579164,153.1554108,-27.6632423
276,0.3579164,153.155426,-27.6632423
277,0.3579164,153.155426,-27.6632423
278,0.3652357,153.1554413,-27.6632423
279,0.3652357,153.1554413,-27.6632423
280,0.3652357,153.1554565,-27.6632423
281,0.3652357,153.1554718,-27.6632423
282,0.3652357,153.1554718,-27.6632423
283,0.3652357,153.1554871,-27.6632423
284,0.3652357,153.1554871,-27.6632423
285,0.3652357,153.1555023,-27.6632423
286,0.3652357,153.1555176,-27.6632423
287,0.3652357,153.1555176,-27.6632423
288,0.3652357,153.1555328,-27.6632423
289,0.337967,153.1555328,-27.6632423
290,0.337967,153.1555481,-27.6632423
291,0.337967,153.1555481,-27.6632423
292,0.337967,153.1555634,-27.6632423
293,0.337967,153.1555786,-27.6632423
294,0.337967,153.1555786,-27.6632423
295,0.337967,153.1555939,-27.6632423
296,0.337967,153.1555939,-27.6632423
297,0.337967,153.1556091,-27.6632423
298,0.337967,153.1556244,-27.6632423
299,0.337967,153.1556244,-27.6632423
300,0.337967,153.1556396,-27.6632423
301,0.3305615,153.1556396,-27.6632423
302,0.341639,153.1551361,-27.6632519
303,0.341639,153.1551514,-27.6632519
304,0.341639,153.1551666,-27.6632519
305,0.341639,153.1551666,-27.6632519
306,0.341639,153.1551819,-27.6632519
307,0.341639,153.1551819,-27.6632519
308,0.341639,153.1551971,-27.6632519
309,0.341639,153.1552124,-27.6632519
310,0.341639,153.1552124,-27.6632519
311,0.341639,153.1552277,-27.6632519
312,0.3623745,153.1552277,-27.6632519
313,0.3623745,153.1552429,-27.6632519
314,0.3623745,153.1552429,-27.6632519
